epoch,train_loss,val_loss,val_clustering_acc,val_macro_f1
1,2.1382358177208607,2.971903200256092,0.4428213932375022,0.5499356031259952
2,1.7397894991768732,2.974850202183928,0.5429203282313915,0.6166903785255251
3,1.608503421760881,2.9679734129701467,0.592096839899901,0.7021183730238352
4,1.5476844722841994,2.9893721202232317,0.5745213292207414,0.6330421205146114
5,1.492058210166884,2.963087760314373,0.699179421521271,0.7882481326646416
6,1.4484511683752508,2.9850354927212166,0.7188500261886749,0.7874864537243204
7,1.4276213882636632,2.975083294749482,0.698364662748065,0.7473334426926137
8,1.395801094211178,2.977055771168828,0.7844381074317639,0.8715110738735753
9,1.3718192003391407,2.972893371262364,0.7732642728277949,0.8314727751123192
10,1.362637815161497,2.9937294896976465,0.796135715532794,0.8508888214958155
11,1.3547517521145902,2.956982518929565,0.7675609614153523,0.8310872412315774
12,1.3332642595218533,2.9766198265707913,0.785776639702031,0.837242610665674
13,1.322963435831384,2.9769596951411867,0.78467089565268,0.8530285152021684
14,1.3312376412589855,2.967768995899506,0.8343129837630215,0.870565637486631
15,1.305406863919992,2.9778786074071846,0.806378397253099,0.8587547557738994
16,1.3082068042500028,3.004503970705597,0.8809870220566839,0.8983144734290874
17,1.2908991995907615,2.980906127329423,0.8953034976430193,0.9246068122693089
18,1.2911688237769123,2.974508208713496,0.8343711808182506,0.8711004726916294
19,1.2879089021388395,2.9827798407393016,0.8372810335797009,0.8698460651804283
20,1.284176376621419,2.9736088809576335,0.8424023744398533,0.874257940233124
21,1.2714465244562048,2.976986088566274,0.8229063609381365,0.8634881197007169
22,1.270441978924559,2.979420888357322,0.8016062387243206,0.8131012311387809
23,1.277959657304081,2.979617676921397,0.8414130245009602,0.873283011470827
24,1.2708718212543693,2.976738649595605,0.8529360414363033,0.8785756789993828
25,1.2722271527527782,2.975300221913798,0.9121224466042018,0.9326307483962308
26,1.2697180648154192,2.9714863389119976,0.8842460571495082,0.877271480320261
1,1.3565009286619507,3.006779469591279,0.8307629633940523,0.8881133940556127
1,1.3495353100967016,2.979439610209545,0.773846243380085,0.8369014327058141
2,1.3338766320006838,2.9807815804827813,0.7806552988418786,0.8093560724262364
3,1.330370988006945,2.9627200811268897,0.8906477332246988,0.9164788887557774
4,1.3228953791008073,2.9833498618234247,0.7496362684048187,0.7911802548028317
5,1.3193562306739666,2.992544879238477,0.8157481231449689,0.8378101634645632
6,1.3122067642800601,2.9802577366820038,0.8145841820403887,0.8622346560223659
7,1.290939133476328,2.9773833587404956,0.8312867368911133,0.8670097917298099
8,1.290561019515795,3.009424983456148,0.8148751673165338,0.857875184635794
9,1.2874252971553017,2.978053278097227,0.7677355525810394,0.805641536721774
10,1.2816627669481584,2.977083617748495,0.8927428272129431,0.9145099673260735
11,1.28373030846011,2.969321046239615,0.8861083629168364,0.8734153048185231
12,1.2746961357171644,2.9661802814881453,0.8571844264680207,0.8788162938001346
13,1.2720868859762027,2.9923334712200766,0.8710353256125241,0.8697076915736016
14,1.260238224096259,3.0024202837846357,0.828609672350579,0.8653015924240904
15,1.2555913656582067,2.9907463320584715,0.8542163766513414,0.8722538277591283
16,1.2517756876140955,2.994785023357171,0.8458941977535936,0.8626609839766841
17,1.2535991564454365,2.973382266540101,0.8232555432695106,0.8207733160299883
18,1.2512219994647023,2.986114095265195,0.8747599371471804,0.8766267603076118
19,1.2551469858045932,2.9852870482972214,0.8634697084327533,0.8752689983083926
20,1.2464279585169176,2.985622279470859,0.8604434615608451,0.8783616457452116
21,1.2396981557946147,2.9807856273828714,0.8348367572600827,0.8267356011358424
22,1.2356579389591766,2.9810515018370785,0.9189315020659955,0.9341158195601598
23,1.2346616939262107,2.981856161877652,0.8575918058546238,0.8711304709612004
24,1.236633125769258,2.9745038417020546,0.9187569109003084,0.9377023367305753
25,1.2355978560055234,2.9842430017957917,0.9209683989990106,0.937171888685733
26,1.2352529949366802,2.9797869145981206,0.8689402316242798,0.8802263501867239
27,1.230009990587156,2.980080277338152,0.8110341616714194,0.8236021212046092
28,1.227013630508886,2.983281040990819,0.9171855904091253,0.9357719446871615
29,1.231337728446403,2.9808736415770687,0.8244776814293197,0.8148378223561954
30,1.2333331231962996,2.983465292378289,0.9209683989990106,0.9382153829959723
